Даты,Квартиры в новостройке за м2,Изменение,Квартиры вторичка за м2,Изменение.1,Курс доллара,Изменение.2
21.03.2024,359037.6,+0.57%,417867.2,-0.66%,92.6861,+2.53%
07.03.2024,357007.9,+0.24%,420611.8,+0.61%,90.3412,-2.32%
22.02.2024,356148.2,+0.56%,418063.4,+0.46%,92.4387,+1.39%
08.02.2024,354152.5,+0.16%,416158.0,-0.06%,91.1514,+3.15%
25.01.2024,353571.5,-1.17%,416421.3,-1.58%,88.2829,-1.26%
11.01.2024,357699.1,-0.02%,423011.0,+0.63%,89.3939,-2.59%
28.12.2023,357772.0,-0.2%,420350.3,+0.75%,91.7051,+1.98%
14.12.2023,358503.1,-0.05%,417209.3,+1.27%,89.8926,+1.12%
30.11.2023,358697.3,-0.74%,411929.7,-0.57%,88.8841,-0.64%
16.11.2023,361356.9,+1.13%,414297.1,+0.54%,89.4565,-4.27%
02.11.2023,357258.1,+0.42%,412048.8,+1.64%,93.2801,-4.39%
19.10.2023,355764.5,+0.35%,405296.6,+1.89%,97.3724,-2.14%
05.10.2023,354514.6,+0.38%,397637.5,-0.11%,99.4555,+2.85%
21.09.2023,353170.5,+1.77%,398085.4,+1.03%,96.6172,-1.27%
07.09.2023,346917.6,+0.53%,393980.0,+1.61%,97.8439,+3.48%
24.08.2023,345061.8,+0.45%,387635.2,+1.46%,94.4421,-3%
11.08.2023,343520.2,+1.92%,381989.6,+7.98%,97.2794,+7.43%
27.07.2023,336926.1,+0.4%,351511.8,+1.14%,90.0468,-0.64%
13.07.2023,335562.3,+1.79%,347489.4,+1.01%,90.6253,+5.52%
29.06.2023,329554.5,-0.93%,343973.4,+0.49%,85.6192,+1.51%
15.06.2023,332607.6,+0.29%,342282.1,-0.48%,84.3249,+3.95%
01.06.2023,331639.3,-3.11%,343940.7,+3.04%,80.9942,+0.28%
18.05.2023,341966.2,-0.84%,333480.9,+1.02%,80.7642,+1.8%
04.05.2023,344842.9,+3.75%,330088.2,+0.36%,79.3071,-2.91%
21.04.2023,331912.3,-3.81%,328906.0,+0.01%,81.6188,+2.6%
06.04.2023,344544.7,+3.22%,328867.7,-2.99%,79.4961,+3.2%
23.03.2023,333445.0,-2.45%,338686.6,-8.79%,76.9561,+1.93%
03.03.2023,341597.9,+3.54%,368443.9,-5.92%,75.4729,+0.94%
17.02.2023,329514.2,+0.51%,390246.7,+0.04%,74.7638,+5.86%
06.02.2023,327828.6,-2.49%,390072.7,+1.19%,70.3847,+2.44%
18.01.2023,335990.0,-0.59%,385441.8,+1.52%,68.6644,-4.83%
30.12.2022,337976.8,+0.62%,379589.5,+1.44%,71.9778,+11.97%
